M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48	M49	M50	M51	M52	M53	M54	M55	M56	M57	M58	M59	M60	M61	M62	M63	M64	M65	M66	M67	M68	M69	M70	M71	M72	M73	M74	M75	M76	M77	M78	M79	M80	M81	M82	M83	M84	M85	M86	M87	M88	M89	M90	M91	M92	M93	M94	M95	M96	M97	M98	M99	M100
5.8 to 6.8	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172	151	184	56	57	112	130	124	34	109	69	140	121	75	160	120	117	95	89	180	139	172
5.9 to 6.9	126	93	33	142	66	114	60	79	121	121	60	128	82	130	126	171	142	139	90	48	58	126	93	33	142	66	114	60	79	121	121	60	128	82	130	126	171	142	139	90	48	58	126	93	33	142	66	114	60	79	121	121	60	128	82	130	126	171	142	139	90	48	58	126	93	33	142	66	114	60	79	121	121	60	128	82	130	126	171	142	139	90	48	58	126	93	33	142	66	114	60	79	121	121	60	128	82	130	126	171
6 to 7	159	86	72	74	35	62	10	128	73	137	139	137	140	128	71	171	121	213	68	86	100	159	86	72	74	35	62	10	128	73	137	139	137	140	128	71	171	121	213	68	86	100	159	86	72	74	35	62	10	128	73	137	139	137	140	128	71	171	121	213	68	86	100	159	86	72	74	35	62	10	128	73	137	139	137	140	128	71	171	121	213	68	86	100	159	86	72	74	35	62	10	128	73	137	139	137	140	128	71	171
6.1 to 7.1	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122
6.2 to 7.2	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122
6.3 to 7.3	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122	115	195	96	86	93	147	81	119	95	41	53	47	142	97	149	175	130	198	134	98	122
6.4 to 7.4	166	126	169	110	46	75	62	160	103	199	186	133	215	182	148	123	132	245	127	92	96	166	126	169	110	46	75	62	160	103	199	186	133	215	182	148	123	132	245	127	92	96	166	126	169	110	46	75	62	160	103	199	186	133	215	182	148	123	132	245	127	92	96	166	126	169	110	46	75	62	160	103	199	186	133	215	182	148	123	132	245	127	92	96	166	126	169	110	46	75	62	160	103	199	186	133	215	182	148	123
6.5 to 7.5	220	127	209	198	81	126	130	215	163	241	218	211	237	234	181	176	186	294	169	135	150	220	127	209	198	81	126	130	215	163	241	218	211	237	234	181	176	186	294	169	135	150	220	127	209	198	81	126	130	215	163	241	218	211	237	234	181	176	186	294	169	135	150	220	127	209	198	81	126	130	215	163	241	218	211	237	234	181	176	186	294	169	135	150	220	127	209	198	81	126	130	215	163	241	218	211	237	234	181	176
6.6 to 7.6	270	136	259	248	96	176	134	217	187	255	230	214	242	258	183	182	191	335	182	136	163	270	136	259	248	96	176	134	217	187	255	230	214	242	258	183	182	191	335	182	136	163	270	136	259	248	96	176	134	217	187	255	230	214	242	258	183	182	191	335	182	136	163	270	136	259	248	96	176	134	217	187	255	230	214	242	258	183	182	191	335	182	136	163	270	136	259	248	96	176	134	217	187	255	230	214	242	258	183	182
6.7 to 7.7	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171
6.8 to 7.8	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171	182	285	173	122	128	220	94	255	248	83	126	126	201	162	205	206	185	204	234	171	171
6.9 to 7.9	194	71	253	200	128	142	136	179	145	193	212	185	202	280	158	211	138	275	129	135	172	194	71	253	200	128	142	136	179	145	193	212	185	202	280	158	211	138	275	129	135	172	194	71	253	200	128	142	136	179	145	193	212	185	202	280	158	211	138	275	129	135	172	194	71	253	200	128	142	136	179	145	193	212	185	202	280	158	211	138	275	129	135	172	194	71	253	200	128	142	136	179	145	193	212	185	202	280	158	211
7 to 8	142	66	192	192	114	142	134	125	143	168	112	174	102	230	149	161	126	175	123	74	120	142	66	192	192	114	142	134	125	143	168	112	174	102	230	149	161	126	175	123	74	120	142	66	192	192	114	142	134	125	143	168	112	174	102	230	149	161	126	175	123	74	120	142	66	192	192	114	142	134	125	143	168	112	174	102	230	149	161	126	175	123	74	120	142	66	192	192	114	142	134	125	143	168	112	174	102	230	149	161
7.1 to 8.1	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110
7.2 to 8.2	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110	76	140	92	63	120	123	59	140	155	105	139	97	75	91	106	62	134	44	174	88	110
7.3 to 8.3	123	66	190	156	111	189	98	125	91	120	65	148	50	180	88	110	98	154	142	94	120	123	66	190	156	111	189	98	125	91	120	65	148	50	180	88	110	98	154	142	94	120	123	66	190	156	111	189	98	125	91	120	65	148	50	180	88	110	98	154	142	94	120	123	66	190	156	111	189	98	125	91	120	65	148	50	180	88	110	98	154	142	94	120	123	66	190	156	111	189	98	125	91	120	65	148	50	180	88	110
7.4 to 8.4	154	32	164	146	122	174	100	123	100	94	104	166	43	136	88	136	103	116	122	138	127	154	32	164	146	122	174	100	123	100	94	104	166	43	136	88	136	103	116	122	138	127	154	32	164	146	122	174	100	123	100	94	104	166	43	136	88	136	103	116	122	138	127	154	32	164	146	122	174	100	123	100	94	104	166	43	136	88	136	103	116	122	138	127	154	32	164	146	122	174	100	123	100	94	104	166	43	136	88	136
7.5 to 8.5	119	44	142	67	137	130	66	85	48	52	84	92	71	84	105	133	52	71	88	118	123	119	44	142	67	137	130	66	85	48	52	84	92	71	84	105	133	52	71	88	118	123	119	44	142	67	137	130	66	85	48	52	84	92	71	84	105	133	52	71	88	118	123	119	44	142	67	137	130	66	85	48	52	84	92	71	84	105	133	52	71	88	118	123	119	44	142	67	137	130	66	85	48	52	84	92	71	84	105	133
7.6 to 8.6	76	38	92	28	134	84	71	133	29	38	72	139	88	65	103	134	97	45	125	133	119	76	38	92	28	134	84	71	133	29	38	72	139	88	65	103	134	97	45	125	133	119	76	38	92	28	134	84	71	133	29	38	72	139	88	65	103	134	97	45	125	133	119	76	38	92	28	134	84	71	133	29	38	72	139	88	65	103	134	97	45	125	133	119	76	38	92	28	134	84	71	133	29	38	72	139	88	65	103	134
7.7 to 8.7	129	55	140	85	153	128	125	198	64	60	84	170	138	69	133	186	108	65	152	170	122	129	55	140	85	153	128	125	198	64	60	84	170	138	69	133	186	108	65	152	170	122	129	55	140	85	153	128	125	198	64	60	84	170	138	69	133	186	108	65	152	170	122	129	55	140	85	153	128	125	198	64	60	84	170	138	69	133	186	108	65	152	170	122	129	55	140	85	153	128	125	198	64	60	84	170	138	69	133	186
7.8 to 8.8	162	63	156	114	182	130	146	218	64	75	93	220	152	79	166	204	136	115	158	170	122	162	63	156	114	182	130	146	218	64	75	93	220	152	79	166	204	136	115	158	170	122	162	63	156	114	182	130	146	218	64	75	93	220	152	79	166	204	136	115	158	170	122	162	63	156	114	182	130	146	218	64	75	93	220	152	79	166	204	136	115	158	170	122	162	63	156	114	182	130	146	218	64	75	93	220	152	79	166	204
7.9 to 8.9	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188
8 to 9	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188	155	131	154	157	77	175	73	169	145	174	162	136	260	64	97	88	216	165	38	179	188
8.1 to 9.1	190	135	181	170	229	162	190	293	74	113	94	282	173	88	185	274	173	134	181	257	146	190	135	181	170	229	162	190	293	74	113	94	282	173	88	185	274	173	134	181	257	146	190	135	181	170	229	162	190	293	74	113	94	282	173	88	185	274	173	134	181	257	146	190	135	181	170	229	162	190	293	74	113	94	282	173	88	185	274	173	134	181	257	146	190	135	181	170	229	162	190	293	74	113	94	282	173	88	185	274
8.2 to 9.2	204	142	205	199	235	162	194	339	79	129	95	288	191	91	191	274	185	153	206	263	196	204	142	205	199	235	162	194	339	79	129	95	288	191	91	191	274	185	153	206	263	196	204	142	205	199	235	162	194	339	79	129	95	288	191	91	191	274	185	153	206	263	196	204	142	205	199	235	162	194	339	79	129	95	288	191	91	191	274	185	153	206	263	196	204	142	205	199	235	162	194	339	79	129	95	288	191	91	191	274
8.3 to 9.3	204	135	155	198	229	112	193	289	79	115	92	274	185	85	191	274	163	139	156	232	196	204	135	155	198	229	112	193	289	79	115	92	274	185	85	191	274	163	139	156	232	196	204	135	155	198	229	112	193	289	79	115	92	274	185	85	191	274	163	139	156	232	196	204	135	155	198	229	112	193	289	79	115	92	274	185	85	191	274	163	139	156	232	196	204	135	155	198	229	112	193	289	79	115	92	274	185	85	191	274
8.4 to 9.4	154	124	131	193	213	105	176	273	64	91	42	253	175	81	141	247	141	127	145	182	186	154	124	131	193	213	105	176	273	64	91	42	253	175	81	141	247	141	127	145	182	186	154	124	131	193	213	105	176	273	64	91	42	253	175	81	141	247	141	127	145	182	186	154	124	131	193	213	105	176	273	64	91	42	253	175	81	141	247	141	127	145	182	186	154	124	131	193	213	105	176	273	64	91	42	253	175	81	141	247
8.5 to 9.5	135	111	113	184	163	98	142	256	56	91	30	249	125	81	91	197	138	123	137	159	136	135	111	113	184	163	98	142	256	56	91	30	249	125	81	91	197	138	123	137	159	136	135	111	113	184	163	98	142	256	56	91	30	249	125	81	91	197	138	123	137	159	136	135	111	113	184	163	98	142	256	56	91	30	249	125	81	91	197	138	123	137	159	136	135	111	113	184	163	98	142	256	56	91	30	249	125	81	91	197
8.6 to 9.6	140	139	148	202	163	117	149	244	67	141	47	248	117	77	107	202	95	115	87	181	132	140	139	148	202	163	117	149	244	67	141	47	248	117	77	107	202	95	115	87	181	132	140	139	148	202	163	117	149	244	67	141	47	248	117	77	107	202	95	115	87	181	132	140	139	148	202	163	117	149	244	67	141	47	248	117	77	107	202	95	115	87	181	132	140	139	148	202	163	117	149	244	67	141	47	248	117	77	107	202
8.7 to 9.7	87	122	100	145	144	73	95	179	32	119	35	217	67	73	77	150	84	95	60	144	129	87	122	100	145	144	73	95	179	32	119	35	217	67	73	77	150	84	95	60	144	129	87	122	100	145	144	73	95	179	32	119	35	217	67	73	77	150	84	95	60	144	129	87	122	100	145	144	73	95	179	32	119	35	217	67	73	77	150	84	95	60	144	129	87	122	100	145	144	73	95	179	32	119	35	217	67	73	77	150
8.8 to 9.8	54	114	84	116	115	71	74	159	32	104	26	167	53	63	44	132	56	45	54	144	129	54	114	84	116	115	71	74	159	32	104	26	167	53	63	44	132	56	45	54	144	129	54	114	84	116	115	71	74	159	32	104	26	167	53	63	44	132	56	45	54	144	129	54	114	84	116	115	71	74	159	32	104	26	167	53	63	44	132	56	45	54	144	129	54	114	84	116	115	71	74	159	32	104	26	167	53	63	44	132
8.9 to 9.9	41	100	71	83	73	23	74	117	31	82	24	121	40	54	28	98	37	29	52	144	124	41	100	71	83	73	23	74	117	31	82	24	121	40	54	28	98	37	29	52	144	124	41	100	71	83	73	23	74	117	31	82	24	121	40	54	28	98	37	29	52	144	124	41	100	71	83	73	23	74	117	31	82	24	121	40	54	28	98	37	29	52	144	124	41	100	71	83	73	23	74	117	31	82	24	121	40	54	28	98
9 to 10	54	129	92	92	91	33	94	167	56	132	31	133	62	64	78	148	87	36	64	162	174	54	129	92	92	91	33	94	167	56	132	31	133	62	64	78	148	87	36	64	162	174	54	129	92	92	91	33	94	167	56	132	31	133	62	64	78	148	87	36	64	162	174	54	129	92	92	91	33	94	167	56	132	31	133	62	64	78	148	87	36	64	162	174	54	129	92	92	91	33	94	167	56	132	31	133	62	64	78	148
9.1 to 10.1	39	67	80	67	36	33	40	134	46	116	25	67	54	14	72	62	69	33	37	62	105	39	67	80	67	36	33	40	134	46	116	25	67	54	14	72	62	69	33	37	62	105	39	67	80	67	36	33	40	134	46	116	25	67	54	14	72	62	69	33	37	62	105	39	67	80	67	36	33	40	134	46	116	25	67	54	14	72	62	69	33	37	62	105	39	67	80	67	36	33	40	134	46	116	25	67	54	14	72	62
9.2 to 10.2	93	93	125	47	38	104	53	164	59	164	26	120	36	24	142	162	74	35	112	110	97	93	93	125	47	38	104	53	164	59	164	26	120	36	24	142	162	74	35	112	110	97	93	93	125	47	38	104	53	164	59	164	26	120	36	24	142	162	74	35	112	110	97	93	93	125	47	38	104	53	164	59	164	26	120	36	24	142	162	74	35	112	110	97	93	93	125	47	38	104	53	164	59	164	26	120	36	24	142	162
9.3 to 10.3	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163
9.4 to 10.4	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163	91	49	128	121	100	99	93	140	63	41	106	53	177	64	173	76	127	36	67	192	163
9.5 to 10.5	137	108	155	81	57	116	57	203	81	199	80	145	54	74	199	196	129	56	130	128	101	137	108	155	81	57	116	57	203	81	199	80	145	54	74	199	196	129	56	130	128	101	137	108	155	81	57	116	57	203	81	199	80	145	54	74	199	196	129	56	130	128	101	137	108	155	81	57	116	57	203	81	199	80	145	54	74	199	196	129	56	130	128	101	137	108	155	81	57	116	57	203	81	199	80	145	54	74	199	196
9.6 to 10.6	133	81	170	67	51	94	49	215	106	178	72	133	45	123	233	186	135	83	138	92	97	133	81	170	67	51	94	49	215	106	178	72	133	45	123	233	186	135	83	138	92	97	133	81	170	67	51	94	49	215	106	178	72	133	45	123	233	186	135	83	138	92	97	133	81	170	67	51	94	49	215	106	178	72	133	45	123	233	186	135	83	138	92	97	133	81	170	67	51	94	49	215	106	178	72	133	45	123	233	186
9.7 to 10.7	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215
9.8 to 10.8	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215	151	101	188	92	97	149	117	194	103	78	102	51	224	119	193	88	163	82	129	240	215
9.9 to 10.9	197	155	242	139	87	131	85	266	133	239	91	243	110	137	245	225	184	126	265	108	120	197	155	242	139	87	131	85	266	133	239	91	243	110	137	245	225	184	126	265	108	120	197	155	242	139	87	131	85	266	133	239	91	243	110	137	245	225	184	126	265	108	120	197	155	242	139	87	131	85	266	133	239	91	243	110	137	245	225	184	126	265	108	120	197	155	242	139	87	131	85	266	133	239	91	243	110	137	245	225
10 to 11	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175
10.1 to 11.1	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175	134	119	253	90	70	184	126	221	130	69	121	65	216	108	189	84	231	88	127	195	175
10.2 to 11.2	116	93	152	121	61	50	48	140	90	125	82	172	88	114	119	75	117	98	153	36	28	116	93	152	121	61	50	48	140	90	125	82	172	88	114	119	75	117	98	153	36	28	116	93	152	121	61	50	48	140	90	125	82	172	88	114	119	75	117	98	153	36	28	116	93	152	121	61	50	48	140	90	125	82	172	88	114	119	75	117	98	153	36	28	116	93	152	121	61	50	48	140	90	125	82	172	88	114	119	75
10.3 to 11.3	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74
10.4 to 11.4	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74	100	84	137	25	25	110	93	137	105	58	48	48	127	85	116	32	165	88	71	69	74
10.5 to 11.5	72	78	122	87	42	38	44	101	68	90	28	147	70	64	62	41	62	77	135	18	24	72	78	122	87	42	38	44	101	68	90	28	147	70	64	62	41	62	77	135	18	24	72	78	122	87	42	38	44	101	68	90	28	147	70	64	62	41	62	77	135	18	24	72	78	122	87	42	38	44	101	68	90	28	147	70	64	62	41	62	77	135	18	24	72	78	122	87	42	38	44	101	68	90	28	147	70	64	62	41
10.6 to 11.6	64	74	72	72	36	37	36	51	27	61	19	110	65	14	12	39	49	43	127	16	23	64	74	72	72	36	37	36	51	27	61	19	110	65	14	12	39	49	43	127	16	23	64	74	72	72	36	37	36	51	27	61	19	110	65	14	12	39	49	43	127	16	23	64	74	72	72	36	37	36	51	27	61	19	110	65	14	12	39	49	43	127	16	23	64	74	72	72	36	37	36	51	27	61	19	110	65	14	12	39
10.7 to 11.7	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10
10.8 to 11.8	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10	33	25	77	16	23	48	38	48	36	9	29	34	42	14	46	3	80	28	8	5	10
10.9 to 11.9	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36
11 to 12	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36
11.1 to 12.1	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36
11.2 to 12.2	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36
11.3 to 12.3	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36	70	27	35	23	45	23	59	65	108	71	12	39	87	36	63	25	47	86	75	54	36
11.4 to 12.4	77	88	165	136	81	61	60	118	43	86	76	94	143	130	68	78	85	43	104	65	55	77	88	165	136	81	61	60	118	43	86	76	94	143	130	68	78	85	43	104	65	55	77	88	165	136	81	61	60	118	43	86	76	94	143	130	68	78	85	43	104	65	55	77	88	165	136	81	61	60	118	43	86	76	94	143	130	68	78	85	43	104	65	55	77	88	165	136	81	61	60	118	43	86	76	94	143	130	68	78
11.5 to 12.5	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92
11.6 to 12.6	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92
11.7 to 12.7	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92	135	90	118	68	72	83	138	183	139	87	109	110	148	48	121	76	105	189	133	68	92
